2024-03-29T13:19:42.283 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:43.285 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:44.288 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:45.290 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:46.291 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:47.294 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:48.296 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:49.299 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:50.304 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:51.307 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:52.310 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:53.315 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:54.317 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:55.321 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:56.325 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:57.339 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:58.346 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:59.387 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:00.390 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:01.405 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:02.409 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:03.413 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:04.414 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:20:05.431 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
