2024-03-29T12:31:47.143 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.28685120477977755
2024-03-29T12:31:47.650 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5679904679425292
2024-03-29T12:31:48.135 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1433960420860192
2024-03-29T12:31:48.714 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1080775128175091
2024-03-29T12:31:49.324 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07825895590918464
2024-03-29T12:31:49.683 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08094654814575009
2024-03-29T12:31:50.252 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0035707780379699017
2024-03-29T12:31:50.671 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5685320777245835
2024-03-29T12:31:51.179 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1739935591128976
2024-03-29T12:31:51.675 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.022932352408826517
2024-03-29T12:31:52.295 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.022932352408826517
2024-03-29T12:31:52.712 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.10876684833142569
2024-03-29T12:31:53.317 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.10876684833142569
2024-03-29T12:31:53.733 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.4437186874271468
2024-03-29T12:31:54.340 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.16101665111926877
2024-03-29T12:31:54.754 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.11312261600753182
2024-03-29T12:31:55.253 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.8439964269770428
2024-03-29T12:31:55.693 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.5533789955465362
2024-03-29T12:31:56.193 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.35542483750592524
2024-03-29T12:31:57.004 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.09021112484931493
2024-03-29T12:31:57.664 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0010204612929207713
2024-03-29T12:31:57.726 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.11650889399902553
2024-03-29T12:31:58.212 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13046019709314294
2024-03-29T12:31:58.729 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.10252493054170486
2024-03-29T12:31:59.362 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08506304703936962
2024-03-29T12:31:59.759 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.045303448853163175
2024-03-29T12:32:00.572 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.027003612495519747
2024-03-29T12:32:01.108 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.14702118514704487
2024-03-29T12:32:01.229 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.09587716483349595
2024-03-29T12:32:01.764 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0824900308772527
2024-03-29T12:32:02.442 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.009187980560550812
